👾 [Master Loop] Registering Castlevania ROM...
Imported 0 games
----------------------------------------------------------------------
🚀 Launching Autonomous Training Loop - Run #1
----------------------------------------------------------------------
🛡️ Enforcing Hyperparameters from config: {'initial_lr': 8.438e-05, 'lr_floor': 3e-05, 'ent_coef': 0.08, 'gamma': 0.99, 'stagnation_frame_budget': 120, 'stagnation_min_episodes': 1000, 'stagnation_patience_episodes': 2000, 'penalize_zero_velocity': True, 'zero_velocity_penalty': -10.0, 'total_episodes': 100000, 'checkpoint_interval': 25, 'time_penalty': -0.02, 'score_weight': 0.01, 'progress_multiplier': 2.3438, 'stage_reward': 100.0, 'completion_reward': 500.0, 'lr_warmup_steps': 0, 'reinit_policy_entropy': False, 'max_ent_coef': 0.08, 'num_workers': 3}
Successfully loaded and adapted checkpoint weights from checkpoints/resume_target.pt
Warning: Could not load optimizer state dict (loaded state dict contains a parameter group that doesn't match the size of optimizer's group). Continuing with fresh optimizer state.
Starting 3 parallel Simons from episode 5 (best distance: 459.5)
Episodes 5-7 | batch max distance: 211.0
Episodes 8-10 | batch max distance: 192.0
Episodes 11-13 | batch max distance: 225.0
Episodes 14-16 | batch max distance: 141.0
Episodes 17-19 | batch max distance: 97.0
Episodes 20-22 | batch max distance: 140.0
Episodes 23-25 | batch max distance: 272.0
Episodes 26-28 | batch max distance: 217.0
Episodes 29-31 | batch max distance: 178.0
Episodes 32-34 | batch max distance: 178.0
Episodes 35-37 | batch max distance: 264.0
Episodes 38-40 | batch max distance: 249.0
Episodes 41-43 | batch max distance: 219.0
Episodes 44-46 | batch max distance: 179.0
Episodes 47-49 | batch max distance: 221.0
Episodes 50-52 | batch max distance: 222.0
Episodes 53-55 | batch max distance: 219.0
Episodes 56-58 | batch max distance: 215.0
Episodes 59-61 | batch max distance: 256.0
Episodes 62-64 | batch max distance: 150.0
Episodes 65-67 | batch max distance: 287.0
Episodes 68-70 | batch max distance: 190.0
Episodes 71-73 | batch max distance: 193.0
Episodes 74-76 | batch max distance: 301.0
Episodes 77-79 | batch max distance: 217.0
Episodes 80-82 | batch max distance: 216.0
Episodes 83-85 | batch max distance: 285.0
Episodes 86-88 | batch max distance: 219.0
Episodes 89-91 | batch max distance: 218.0
Episodes 92-94 | batch max distance: 261.0
Episodes 95-97 | batch max distance: 257.0
Episodes 98-100 | batch max distance: 222.0
Episodes 101-103 | batch max distance: 189.0
Episodes 104-106 | batch max distance: 222.0
Episodes 107-109 | batch max distance: 260.0
Episodes 110-112 | batch max distance: 256.0
Episodes 113-115 | batch max distance: 194.0
Episodes 116-118 | batch max distance: 137.0
Episodes 119-121 | batch max distance: 258.0
Episodes 122-124 | batch max distance: 223.0
Episodes 125-127 | batch max distance: 182.0
Episodes 128-130 | batch max distance: 192.0
Episodes 131-133 | batch max distance: 154.0
Episodes 134-136 | batch max distance: 221.0
Episodes 137-139 | batch max distance: 213.0
Episodes 140-142 | batch max distance: 137.0
Episodes 143-145 | batch max distance: 215.0
Episodes 146-148 | batch max distance: 258.0
Episodes 149-151 | batch max distance: 220.0
Episodes 152-154 | batch max distance: 219.0
Episodes 155-157 | batch max distance: 258.0
Episodes 158-160 | batch max distance: 185.0
Episodes 161-163 | batch max distance: 212.0
Episodes 164-166 | batch max distance: 151.0
Episodes 167-169 | batch max distance: 97.0
Episodes 170-172 | batch max distance: 258.0
Episodes 173-175 | batch max distance: 215.0
Episodes 176-178 | batch max distance: 216.0
Episodes 179-181 | batch max distance: 216.0
Episodes 182-184 | batch max distance: 194.0
Episodes 185-187 | batch max distance: 170.0
Episodes 188-190 | batch max distance: 258.0
Episodes 191-193 | batch max distance: 144.0
Episodes 194-196 | batch max distance: 217.0
Episodes 197-199 | batch max distance: 243.0
Episodes 200-202 | batch max distance: 256.0
Episodes 203-205 | batch max distance: 225.0
Episodes 206-208 | batch max distance: 260.0
Episodes 209-211 | batch max distance: 257.0
Episodes 212-214 | batch max distance: 299.0
Episodes 215-217 | batch max distance: 217.0
Episodes 218-220 | batch max distance: 216.0
Episodes 221-223 | batch max distance: 174.0
Episodes 224-226 | batch max distance: 268.0
Episodes 227-229 | batch max distance: 224.0
Episodes 230-232 | batch max distance: 220.0
Episodes 233-235 | batch max distance: 311.0
Episodes 236-238 | batch max distance: 258.0
Episodes 239-241 | batch max distance: 221.0
Episodes 242-244 | batch max distance: 99.0
Episodes 245-247 | batch max distance: 254.0
Episodes 248-250 | batch max distance: 217.0
Episodes 251-253 | batch max distance: 220.0
Episodes 254-256 | batch max distance: 266.0
Episodes 257-259 | batch max distance: 259.0
Episodes 260-262 | batch max distance: 179.0
Episodes 263-265 | batch max distance: 216.0
Episodes 266-268 | batch max distance: 217.0
Episodes 269-271 | batch max distance: 190.0
Episodes 272-274 | batch max distance: 174.0
Episodes 275-277 | batch max distance: 226.0
Episodes 278-280 | batch max distance: 298.0
Episodes 281-283 | batch max distance: 182.0
Episodes 284-286 | batch max distance: 252.0
Episodes 287-289 | batch max distance: 190.0
Episodes 290-292 | batch max distance: 221.0
Episodes 293-295 | batch max distance: 180.0
Episodes 296-298 | batch max distance: 221.0
Episodes 299-301 | batch max distance: 183.0
